code;name;province;population;pop_men;pop_women;pop_0_14;pop_15_24;pop_25_44;pop_45_64;pop_65plus;origin_native;origin_west;origin_non_west
0003;Appingedam;Groningen;12065;5845;6215;15;11;22;30;22;87;8;5
0005;Bedum;Groningen;10495;5245;5245;17;12;21;31;19;94;4;2
0007;Bellingwedde;Groningen;8920;4450;4470;14;10;19;34;24;90;8;2
0009;Ten Boer;Groningen;7480;3730;3750;20;11;22;29;18;93;4;3
0010;Delfzijl;Groningen;25695;12860;12835;15;11;21;30;23;83;8;9
0014;Groningen;Groningen;198315;98425;99890;12;24;30;21;12;78;11;11
0015;Grootegast;Groningen;12165;6210;5950;19;12;24;28;16;96;3;1
0017;Haren;Groningen;18780;8925;9855;17;10;18;30;26;88;8;4
0018;Hoogezand-Sappemeer;Groningen;34305;16950;17350;16;11;24;29;21;82;7;11
0022;Leek;Groningen;19595;9690;9905;18;11;22;30;20;91;6;3
0024;Loppersum;Groningen;10195;5155;5040;17;11;21;32;19;94;4;2
0025;Marum;Groningen;10375;5310;5065;18;12;23;30;17;94;4;2
0034;Almere;Flevoland;196010;97235;98775;20;13;29;29;9;61;10;29
0037;Stadskanaal;Groningen;32800;16185;16615;16;11;22;29;23;92;5;3
0040;Slochteren;Groningen;15545;7910;7635;18;10;23;32;17;94;4;2
0047;Veendam;Groningen;27790;13770;14020;17;10;24;30;20;88;5;7
0048;Vlagtwedde;Groningen;15905;7910;7995;15;10;20;32;23;92;6;2
0050;Zeewolde;Flevoland;21500;10940;10555;21;14;25;29;11;87;9;4
0053;Winsum;Groningen;13850;6870;6975;19;11;21;31;19;93;5;2
0056;Zuidhorn;Groningen;18775;9375;9395;20;11;23;28;18;94;4;2
0058;Dongeradeel;Friesland;24160;12080;12075;18;12;23;27;20;95;3;2
0059;Achtkarspelen;Friesland;28015;14255;13760;19;12;24;28;17;97;2;1
0060;Ameland;Friesland;3575;1755;1820;18;8;24;29;20;93;5;2
0063;het Bildt;Friesland;10625;5435;5190;18;12;23;29;18;90;5;5
0070;Franekeradeel;Friesland;20445;10270;10175;17;11;23;29;19;91;6;3
0072;Harlingen;Friesland;15820;7935;7885;17;11;22;29;21;88;8;4
0074;Heerenveen;Friesland;49900;24610;25285;17;11;24;28;20;90;5;5
0079;Kollumerland en Nieuwkruisland;Friesland;12875;6620;6260;18;12;24;29;17;96;2;2
0080;Leeuwarden;Friesland;107340;52950;54390;16;16;27;25;16;83;8;9
0081;Leeuwarderadeel;Friesland;10275;5135;5140;17;12;21;32;19;93;4;3
0085;Ooststellingwerf;Friesland;25670;12860;12810;16;11;22;30;21;93;5;2
0086;Opsterland;Friesland;29860;14910;14950;18;11;22;30;19;95;3;2
0088;Schiermonnikoog;Friesland;940;475;465;15;8;22;30;25;91;7;2
0090;Smallingerland;Friesland;55465;27595;27870;18;11;24;28;19;90;5;5
0093;Terschelling;Friesland;4780;2535;2245;14;15;23;28;21;94;5;1
0096;Vlieland;Friesland;1110;540;565;14;11;26;31;19;88;10;2
0098;Weststellingwerf;Friesland;25455;12775;12675;16;10;22;30;21;93;4;3
0106;Assen;Drenthe;67190;32990;34200;18;11;25;28;17;86;8;6
0109;Coevorden;Drenthe;35770;17760;18010;17;10;21;31;21;92;5;3
0114;Emmen;Drenthe;108050;53470;54580;16;11;23;30;20;89;7;4
0118;Hoogeveen;Drenthe;54665;27175;27490;18;11;24;27;20;91;5;4
0119;Meppel;Drenthe;32865;16075;16790;18;10;26;28;17;90;5;5
0140;Littenseradiel;Friesland;10925;5570;5350;19;11;22;31;16;95;4;1
0141;Almelo;Overijssel;72460;36005;36450;18;11;26;27;18;75;10;15
0147;Borne;Overijssel;21885;10895;10985;18;11;23;29;19;89;7;4
0148;Dalfsen;Overijssel;27675;14015;13655;19;12;22;29;19;95;3;2
0150;Deventer;Overijssel;98320;48455;49865;18;12;27;27;16;79;9;12
0153;Enschede;Overijssel;158585;80425;78160;16;15;28;25;16;72;13;15
0158;Haaksbergen;Overijssel;24345;12245;12095;17;11;21;30;21;88;7;5
0160;Hardenberg;Overijssel;59575;30135;29440;19;12;24;28;17;94;4;2
0163;Hellendoorn;Overijssel;35710;17860;17850;18;11;23;29;19;94;4;2
0164;Hengelo;Overijssel;80955;40375;40580;17;11;26;28;18;78;10;12
0166;Kampen;Overijssel;51090;25365;25725;21;12;26;25;16;91;4;5
0168;Losser;Overijssel;22610;11345;11265;17;11;21;31;20;85;12;3
0171;Noordoostpolder;Flevoland;46355;23465;22890;20;11;25;28;15;87;6;7
0173;Oldenzaal;Overijssel;32135;16035;16100;18;11;23;28;20;85;8;7
0175;Ommen;Overijssel;17360;8735;8625;18;11;23;29;20;94;4;2
0177;Raalte;Overijssel;36520;18345;18175;17;12;21;31;19;95;3;2
0180;Staphorst;Overijssel;16365;8375;7990;24;14;24;24;14;97;2;1
0183;Tubbergen;Overijssel;21205;10805;10400;20;13;22;29;16;95;4;1
0184;Urk;Flevoland;19470;9840;9630;30;17;26;19;8;97;1;2
0189;Wierden;Overijssel;23910;11955;11950;19;12;23;28;19;93;5;2
0193;Zwolle;Overijssel;123160;60385;62770;19;12;30;25;14;84;7;9
0196;Rijnwaarden;Gelderland;10915;5425;5490;16;11;22;33;18;88;10;2
0197;Aalten;Gelderland;27010;13505;13510;18;11;22;30;20;89;8;3
0200;Apeldoorn;Gelderland;157545;77795;79750;17;11;24;29;19;84;8;8
0202;Arnhem;Gelderland;150820;75030;75795;17;13;31;26;14;71;11;18
0203;Barneveld;Gelderland;54150;26955;27195;22;14;24;24;15;92;4;4
0209;Beuningen;Gelderland;25285;12630;12655;17;12;22;33;16;88;8;4
0213;Brummen;Gelderland;21175;10475;10700;16;11;21;31;22;89;6;5
0214;Buren;Gelderland;26020;12990;13030;18;11;22;32;17;93;5;2
0216;Culemborg;Gelderland;27590;13680;13905;19;12;24;29;16;78;9;13
0221;Doesburg;Gelderland;11435;5600;5835;16;11;22;31;21;80;10;10
0222;Doetinchem;Gelderland;56345;27835;28505;17;11;24;30;18;87;7;6
0225;Druten;Gelderland;18210;9030;9175;18;11;24;31;16;88;6;6
