PC4;X;Y
1011;122244.1016908;487223.1103132
1012;121612.797805668;487555.442193927
1013;120324.504123209;489671.682341738
1014;119515.029078042;489421.741526331
1015;120740.451399318;488009.298815909
1016;120537.758537905;487075.388236409
1017;121225.666243389;486219.900904655
1018;123019.458050919;486689.086180481
1019;124140.209608516;487243.689811813
1021;123040.734903846;488449.710030769
1022;123837.76879954;489788.476357537
1023;125492.89658386;488804.359915965
1024;125308.339537792;489731.314129724
1025;124113.228113307;490147.790369712
1026;128248.021117002;488553.86971298
1027;126140.988580769;491176.395223342
1028;129426.687029394;490857.38875997
1031;122439.035638306;489141.027110081
1032;122619.283112731;490018.642783796
1033;121383.435697902;491617.911118706
1034;122761.709516163;490996.525944938
1035;121363.30277784;492347.46339986
1036;122005.548929943;491304.542985311
1037;119418.420265799;493410.389422677
1041;118522.2978925;492009.421824792
1042;117196.240578333;491076.394526667
1043;116990.192225755;489360.747941007
1044;115826.50956135;491047.775385276
1045;114648.634641991;491963.14968355
1046;114321.802989095;489490.385952204
1047;112096.319666512;490688.10288093
1051;119789.503830478;488193.63217988
1052;120084.305107057;487966.233124441
1053;119669.203078406;486667.165912597
1054;119781.713762253;486100.149984018
1055;118583.209495928;488056.915260181
1056;118742.416836347;487401.949833816
1057;118644.938194191;486698.510646266
1058;118309.905999814;485707.892691061
1059;118109.633186908;484280.287153482
1060;113485.883655973;484991.138077876
1061;117819.167974405;487402.961004167
1062;117583.884563586;485414.070195564
1063;116487.857148404;488247.094037234
1064;116284.910789525;487363.099065303
1065;116701.249852757;485645.758143566
1066;116333.521265607;483981.458190896
1067;113737.981827058;486811.851354115
1068;115524.955180674;485724.03580922
1069;114061.786393437;485023.350738651
1071;120223.019361821;485571.348976997
1072;121166.361889868;485256.158731498
1073;121657.265666493;485184.515061558
1074;122094.520416667;485246.342975
1075;118992.330532136;485090.325454291
1076;118998.072287626;484177.372031566
1077;120152.667930424;484262.785920519
1078;121539.946564;484193.424777143
1079;122031.663696552;483826.669846798
1081;118277.649547141;482449.52044371
1082;120150.769323467;482654.090856448
1083;120827.909990233;482528.467635581
1086;127333.042181147;486302.675945082
1087;128789.053787818;484411.442428782
1091;122679.286294808;485397.729139503
1092;123355.948002028;485883.379112779
1093;123750.873898929;486025.438580942
